# Date,Receipt_Count,prev_count
1/2/2021,7455524,7564766
1/3/2021,7095414,7455524
1/4/2021,7666163,7095414
1/5/2021,7771289,7666163
1/6/2021,7473320,7771289
1/7/2021,7832624,7473320
1/8/2021,7765028,7832624
1/9/2021,7385245,7765028
1/10/2021,7392087,7385245
1/11/2021,7738899,7392087
1/12/2021,7840830,7738899
1/13/2021,8122546,7840830
1/14/2021,7694195,8122546
1/15/2021,7200595,7694195
1/16/2021,7744470,7200595
1/17/2021,7610648,7744470
1/18/2021,7880913,7610648
1/19/2021,7250032,7880913
1/20/2021,7666397,7250032
1/21/2021,7742477,7666397
1/22/2021,7807438,7742477
1/23/2021,7603625,7807438
1/24/2021,7572947,7603625
1/25/2021,7598153,7572947
1/26/2021,7194687,7598153
1/27/2021,7787109,7194687
1/28/2021,7631075,7787109
1/29/2021,7750536,7631075
1/30/2021,8059526,7750536
1/31/2021,7838129,8059526
2/1/2021,7714465,7838129
2/2/2021,7766408,7714465
2/3/2021,7832259,7766408
2/4/2021,7506461,7832259
2/5/2021,7816477,7506461
2/6/2021,7360372,7816477
2/7/2021,8039414,7360372
2/8/2021,7858632,8039414
2/9/2021,7810951,7858632
2/10/2021,7579882,7810951
2/11/2021,8127696,7579882
2/12/2021,7748085,8127696
2/13/2021,8117805,7748085
2/14/2021,7780006,8117805
2/15/2021,7916028,7780006
2/16/2021,7736671,7916028
2/17/2021,8082781,7736671
2/18/2021,7824063,8082781
2/19/2021,7761256,7824063
2/20/2021,7821879,7761256
2/21/2021,7760399,7821879
2/22/2021,8330147,7760399
2/23/2021,8053953,8330147
2/24/2021,7816117,8053953
2/25/2021,8156649,7816117
2/26/2021,7857443,8156649
2/27/2021,7881212,7857443
2/28/2021,7975949,7881212
3/1/2021,7970632,7975949
3/2/2021,7998865,7970632
3/3/2021,7748662,7998865
3/4/2021,8080043,7748662
3/5/2021,7971011,8080043
3/6/2021,8309959,7971011
3/7/2021,7945271,8309959
3/8/2021,8352635,7945271
3/9/2021,7861647,8352635
3/10/2021,7920726,7861647
3/11/2021,7921232,7920726
3/12/2021,8142874,7921232
3/13/2021,7731725,8142874
3/14/2021,8070687,7731725
3/15/2021,7825047,8070687
3/16/2021,7920469,7825047
3/17/2021,7946897,7920469
3/18/2021,8090998,7946897
3/19/2021,8415152,8090998
3/20/2021,8325436,8415152
3/21/2021,8105278,8325436
3/22/2021,7562433,8105278
3/23/2021,8096085,7562433
3/24/2021,8034268,8096085
3/25/2021,8050876,8034268
3/26/2021,8077321,8050876
3/27/2021,7999117,8077321
3/28/2021,8082481,7999117
3/29/2021,8126444,8082481
3/30/2021,7911341,8126444
3/31/2021,8013013,7911341
4/1/2021,8353242,8013013
4/2/2021,8042185,8353242
4/3/2021,8401675,8042185
4/4/2021,8134408,8401675
4/5/2021,8422480,8134408
4/6/2021,8140096,8422480
4/7/2021,8385138,8140096
4/8/2021,8619576,8385138
4/9/2021,7961949,8619576
4/10/2021,8388608,7961949
4/11/2021,8458290,8388608
4/12/2021,8206730,8458290
4/13/2021,8319338,8206730
4/14/2021,8726486,8319338
4/15/2021,8342572,8726486
4/16/2021,8438884,8342572
4/17/2021,8186918,8438884
4/18/2021,8195134,8186918
4/19/2021,8366630,8195134
4/20/2021,8282495,8366630
4/21/2021,8641338,8282495
4/22/2021,8521710,8641338
4/23/2021,8255078,8521710
4/24/2021,8221890,8255078
4/25/2021,8509398,8221890
4/26/2021,8055670,8509398
4/27/2021,8266410,8055670
4/28/2021,8367438,8266410
4/29/2021,8704248,8367438
4/30/2021,8728816,8704248
5/1/2021,8231674,8728816
5/2/2021,8278534,8231674
5/3/2021,8727522,8278534
5/4/2021,8649710,8727522
5/5/2021,8519563,8649710
5/6/2021,8435867,8519563
5/7/2021,8227322,8435867
